startingdate;;;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01
variety;;;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01
wscode;;;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw
wsname;;;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos
wstype;;;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique
130;;;;;;;;;;;;;;;;;;;;;;
ru;;;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150
sdjbvp;;;672;610;650;580;510;720;630;600;620;680;610;670;810;580;620;600;805;570;635;615
sdjlevee;;;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
sdjmatu1;;;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
sdjmatu2;;;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
sdjrpr;;;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380;380
seuilcstrmortality;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
seuilpp;;;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6;13.6
seuilruiss;;;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
slamax;;;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065;0.0065
slamin;;;0.0019;0.002;0.0023;0.0021;0.002;0.0019;0.0019;0.0022;0.0019;0.0016;0.0019;0.0018;0.0019;0.0021;0.0019;0.002;0.0021;0.002;0.0022;0.0018
slaswitch;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
sowing;;;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631;2456631
startingdate;;;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274;2456274
