"","Year","Variety","SD","Soil","Mngt","max_value_GY","max_value_lai"
"203",2002,"C2","01/12","DSrain6mm","Rainfed_true",493.43994975665,2.91675954438427
"204",2002,"C2","01/12","DSrain6mm","Transplanting",1747.55116043198,10.8252678737157
"205",2002,"C2","15/01","DSrain12mm","DSirrg",0.557347827823844,2.48923434786631
"206",2002,"C2","15/01","DSrain12mm","Rainfed",0.123672439498682,1.39241661252974
"207",2002,"C2","15/01","DSrain12mm","Rainfed_true",0.0373075926098778,1.24398639105113
"208",2002,"C2","15/01","DSrain12mm","Transplanting",0.434194525471846,11.3014863427885
"209",2002,"C2","15/01","DSrain3mm","DSirrg",0.55151556199979,2.44047400571012
"210",2002,"C2","15/01","DSrain3mm","Rainfed",0.149864825631843,1.74972772675291
"211",2002,"C2","15/01","DSrain3mm","Rainfed_true",0.0461092548729247,1.38482031050685
"212",2002,"C2","15/01","DSrain3mm","Transplanting",0.397961416095626,11.0517691119124
"213",2002,"C2","15/01","DSrain6mm","DSirrg",0.555033219338037,2.47794324104216
"214",2002,"C2","15/01","DSrain6mm","Rainfed",0.154954134925399,1.66496992790787
"215",2002,"C2","15/01","DSrain6mm","Rainfed_true",0.0364377680453372,1.30420117042233
"216",2002,"C2","15/01","DSrain6mm","Transplanting",0.410872439162448,11.1052424547772
"217",2002,"C2","15/09","DSrain12mm","DSirrg",2664.23425615327,3.84114640672673
"218",2002,"C2","15/09","DSrain12mm","Rainfed",1944.91012919842,3.46839038920221
"219",2002,"C2","15/09","DSrain12mm","Rainfed_true",1965.32643520495,2.81900951855148
"220",2002,"C2","15/09","DSrain12mm","Transplanting",3537.53937425126,5.27125009639013
"221",2002,"C2","15/09","DSrain3mm","DSirrg",2631.97936371065,3.81570447513615
"222",2002,"C2","15/09","DSrain3mm","Rainfed",2166.42167993066,3.65879105025298
"223",2002,"C2","15/09","DSrain3mm","Rainfed_true",1985.36596948188,2.90115889538819
"224",2002,"C2","15/09","DSrain3mm","Transplanting",3484.71818253869,5.27125009639013
"225",2002,"C2","15/09","DSrain6mm","DSirrg",2643.94664271438,3.8412481822655
"226",2002,"C2","15/09","DSrain6mm","Rainfed",2223.14440407502,3.67227894799558
"227",2002,"C2","15/09","DSrain6mm","Rainfed_true",1984.84464663906,2.98289630790984
"228",2002,"C2","15/09","DSrain6mm","Transplanting",3513.57013076054,5.27125009639013
"229",2002,"C2","15/10","DSrain12mm","DSirrg",2664.23425615327,3.84114640672673
"230",2002,"C2","15/10","DSrain12mm","Rainfed",1944.47618691387,3.46903998579322
"231",2002,"C2","15/10","DSrain12mm","Rainfed_true",1849.1328557233,2.83258281968145
"232",2002,"C2","15/10","DSrain12mm","Transplanting",1979.38199832036,9.35353181738384
"233",2002,"C2","15/10","DSrain3mm","DSirrg",2631.97936371065,3.81570447513615
"234",2002,"C2","15/10","DSrain3mm","Rainfed",2167.23123405847,3.66224138004752
"235",2002,"C2","15/10","DSrain3mm","Rainfed_true",1985.2791834907,2.85286937309249
"236",2002,"C2","15/10","DSrain3mm","Transplanting",1849.29757600444,9.21587826222102
"237",2002,"C2","15/10","DSrain6mm","DSirrg",2643.94664271438,3.8412481822655
"238",2002,"C2","15/10","DSrain6mm","Rainfed",2222.85714258865,3.67325791615154
